	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-,+;front:+;round:0	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-,+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:+	v	z	ʒ	zʲ	ɣ	ɣʷ	6/6	1.0
periodicGlottalSource:-	f	s	ʃ		x	xʷ	5/6	0.9779215515578109
	2/2	2/2	2/2	1/2	2/2	2/2
	1.0	1.0	1.0	0.26305965111670193	1.0	1.0
