	labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;front:0 | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;dorsal:-;front:0;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:-,+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;front:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;front:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;front:0;anterior:+;distributed:+	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-,+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:0,-,+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:-,-,+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;front:+;distributed:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:0,-,+;front:+;distributed:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,-,+;front:+;distributed:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;front:+;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:0,-,+;front:+;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,-,+;front:+;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;front:+;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:0,-,+;front:+;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,-,+;front:+;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;front:+;anterior:+;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:0,-,+;front:+;anterior:+;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,-,+;front:+;anterior:+;distributed:+	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;front:-,+ | labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;front:0,-,+ | labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;front:-,-,+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;front:+;anterior:+;distributed:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;front:+;anterior:-;distributed:+	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d	dʲ	ɡ	ɡʲ	5/5	1.0
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t	tʲ	k		4/5	0.9550935242673599
periodicGlottalSource:+;category:fricative		z				1/5	0.6361413639380614
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s				2/5	0.8688744856624787
	3/4	4/4	2/4	2/4	1/4
	0.9245089109231273	1.0	0.6502096935301036	0.8186879619670382	0.36119838779112196
