	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;back:0;round:-	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;back:0;round:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:0	labial:-,+;labiodental:-;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:+	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:0 | labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:0	count	markedness_count
periodicGlottalSource:+		v	z	ʒ		ɣ	4/6	0.8488952352090481
periodicGlottalSource:-	ɸ	f	s	ʃ	ʃʷ	χ	6/6	1.0
	1/2	2/2	2/2	2/2	1/2	2/2
	0.43890027255094766	1.0	1.0	1.0	0.5433356750125081	1.0
