	labial:+;coronal:-;anterior:0;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:+;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:-;dorsal:-;high:0;back:0	labial:-;coronal:-;anterior:0;dorsal:+;high:+;back:-	labial:-;coronal:-;anterior:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+		z̪|z	ʒ		ʁ	3/5	0.5711126875811038
periodicGlottalSource:-	f	s̪|s	ʃ	x	χ	5/5	1.0
	1/2	2/2	2/2	1/2	2/2
	0.6625450972908989	1.0	1.0	0.7104002923559953	1.0
