	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+	z	ʒ	2/2	1.0
periodicGlottalSource:-		ʃ	1/2	0.2555002315971769
	1/2	2/2
	0.20950263095201385	1.0
