	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	tʼ	kʼ	3/3	1.0
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b	d	ɡ	3/3	1.0
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t	k	3/3	1.0
	3/3	3/3	3/3
	1.0	1.0	1.0
