	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:- | labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	tʼ	kʼ	3/3	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	b		ɡ	2/3	0.6536006770845978
periodicGlottalSource:+;spreadGlottis:+,-;constrictedGlottis:-;raisedLarynxEjective:-		ʱd		1/3	0.5
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t	q	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-			kʰ	1/3	0.40547257771136336
	3/5	3/5	4/5
	0.8906446460606534	0.6082450484330755	0.9991479185210709
