	labial:+;coronal:-;strident:0;dorsal:- | labial:+;coronal:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;dorsal:- | labial:-;coronal:+;strident:+;dorsal:- | labial:-;coronal:+;strident:-,+;dorsal:- | labial:-;coronal:+;strident:+;dorsal:-;distributed:- | labial:-;coronal:+;strident:+;dorsal:-;distributed:+ | labial:-;coronal:+;strident:+;dorsal:-;anterior:+;distributed:+	labial:-;coronal:-;strident:0;dorsal:+ | labial:-;coronal:+;strident:+;dorsal:+;anterior:+;distributed:+;front:+ | labial:-;coronal:+;strident:-;dorsal:+;anterior:-;distributed:+;front:+ | labial:-;coronal:+;strident:+;dorsal:-,+;anterior:-;distributed:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:plosive	b	d	ɡ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:plosive	p	t	k	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;category:plosive | periodicGlottalSource:+,-;spreadGlottis:+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-;category:plosive	pʰ	tʰ	kʰ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s		1/3	0.7522602733581376
	3/4	4/4	3/4
	0.8409654914420828	1.0	0.8653003733623978
