f	s	ʃ		3/4	0.8027868817059951
v	z	ʒ	ɣ	4/4	1.0
ɱf			-	1/3	0.37549971489223083
3/3	2/3	2/3	1/2
1.0	0.9997333651158848	0.9998866231250613	0.2952849034719637
