	labial:+;coronal:-;dorsal:-; ̺:-	labial:-;coronal:+;dorsal:-; ̺:+	labial:-;coronal:+;dorsal:-; ̺:-	labial:-;coronal:-;dorsal:+; ̺:-	count	markedness_count
periodicGlottalSource:+	v	z̺	z	ʁ	4/4	1.0
periodicGlottalSource:-	f	s̺	s		3/4	0.8043232874578637
	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	0.29522793278914716
