	labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;high:0;back:0; ̺:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;high:0;back:0; ̺:- | labial:+;labiodental:+,-;coronal:-;strident:0;dorsal:-;high:0;back:0; ̺:-;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-;high:0;back:0; ̺:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;high:0;back:0; ̺:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;high:0;back:0; ̺:+;distributed:-	labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;high:0;back:0; ̺:- | labial:-;labiodental:0;coronal:+;strident:-,+;dorsal:-;high:0;back:0; ̺:-	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;high:+;back:-; ̺:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;high:+;back:-; ̺:-;anterior:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;high:+;back:-; ̺:-;anterior:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;high:+;back:-; ̺:-;anterior:-;distributed:+;low:-;front:+ | labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;high:-;back:+; ̺:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;high:-;back:+; ̺:-;anterior:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;high:-;back:+; ̺:-;anterior:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;high:-;back:+; ̺:-;anterior:-;distributed:+;low:-;front:+ | labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;high:-;back:+; ̺:-;low:+;retractedTongueRoot:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;high:-;back:+; ̺:-;anterior:+;distributed:+;front:+;low:+;retractedTongueRoot:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;high:-;back:+; ̺:-;anterior:-;distributed:+;front:+;low:+;retractedTongueRoot:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;high:-;back:+; ̺:-;anterior:-;distributed:+;low:+;front:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d̺	-	ɡ	3/3	1.0
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t̺	-	k	3/3	1.0
periodicGlottalSource:+;category:fricative	v	z̺	z	ʁ	4/4	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s̺	s		3/4	0.7817721318268055
	4/4	4/4	2/2	3/4
	1.0	1.0	1.0	0.8661579186306296
