	labial:-;dorsal:-	labial:-,+;dorsal:-	labial:-;dorsal:-,+	count	markedness_count
periodicGlottalSource:+	d̠ʒ	d̠ʒʷ	d̠ʒʲ	3/3	1.0
periodicGlottalSource:-	t̠ʃ	t̠ʃʷ	t̠ʃʲ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
