	labial:+;coronal:-;dorsal:-;front:0;round:-	labial:+;coronal:-;dorsal:-;front:0;round:-,+	labial:-;coronal:+;dorsal:-;front:0;round:0	labial:-,+;coronal:+;dorsal:-;front:0;round:+	labial:-;coronal:+;dorsal:-,+;front:+;round:0	labial:+;coronal:-;dorsal:+;front:-;round:-	labial:-;coronal:-;dorsal:+;front:-;round:0	labial:-,+;coronal:-;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:+	b	bʷ	d		dʲ	ɡb	ɡ	ɡʷ	7/8	0.9983843959815936
periodicGlottalSource:-			t	tʷ	tʲ	kp	k	kʷ	6/8	0.7538153609389526
	1/2	1/2	2/2	1/2	2/2	2/2	2/2	2/2
	0.3520981260077749	0.5129734133942809	1.0	0.7954170059991599	1.0	1.0	1.0	1.0
