glottocode	plosive_series	plosive_fullness	plosive_markedness_fullness	fricative_series	fricative_fullness	fricative_markedness_fullness	affricate_series	affricate_fullness	affricate_markedness_fullness	series	series_fullness	series_markedness_fullness	plosive_places	plosive_places_fullness	plosive_places_markedness_fullness	fricative_places	fricative_places_fullness	fricative_places_markedness_fullness	affricate_places	affricate_places_fullness	affricate_places_markedness_fullness	all_places	all_places_fullness	all_places_markedness_fullness
aari1239	5	2.0	2.5368710330523503	4	1.6666666666666665	1.650259485958511	5	2.5	2.6107927730525247	8	3.166666666666667	3.8959181087665127	4	2.6666666666666665	3.2182311772579575	3	2.5	2.662545097290899	2	1.6666666666666665	1.8362027023043914	6	3.3	4.356731581389968
abar1238	4	2.0	2.0	3	1.0	1.0	4	2.0	2.0	5	2.6	2.7465694731619905	4	4.0	4.0	3	3.0	3.0	2	2.0	2.0	6	5.333333333333333	5.751258005071317
abau1245	3	1.0	1.0	3	1.0	1.0	0	0.0	0.0	4	1.0	1.244620944031029	2	2.0	2.0	1	1.0	1.0	0	0.0	0.0	3	1.5	1.9519340486515473
abid1235	4	2.0	2.0	3	1.0	1.0	0	0.0	0.0	5	2.5	2.802392085064903	5	5.0	5.0	2	2.0	2.0	0	0.0	0.0	5	4.333333333333333	4.733830861089422
abip1241	3	1.0	1.0	3	1.0	1.0	0	0.0	0.0	4	1.4	1.2134454103791148	5	5.0	5.0	2	2.0	2.0	0	0.0	0.0	5	3.5	4.45049984565676
abis1238	3	1.0	1.0	3	1.0	1.0	3	1.0	1.0	4	1.2857142857142856	1.4967845069926424	5	5.0	5.0	2	2.0	2.0	2	2.0	2.0	7	4.5	5.660083860159226
abkh1244	5	2.5	2.895545218365504	4	1.7142857142857144	1.9760817255525969	6	3.2	3.0032316248564763	8	3.811764705882353	4.540290803644456	9	7.666666666666667	8.086144815979965	14	12.0	12.77602724004663	5	4.0	3.414757514101189	17	11.0	11.284014045410272
abua1244	5	2.6666666666666665	2.8108077539606615	4	1.5	1.7651937739542443	0	0.0	0.0	7	4.166666666666666	4.658077682929447	4	3.6666666666666665	3.9881447527138927	4	3.0	2.8431281404854114	0	0.0	0.0	5	4.4	4.824175591677346
abuj1237	4	2.0	2.0	3	1.0	1.0	4	2.0	2.0	5	2.2	2.597856577094733	4	4.0	4.0	1	1.0	1.0	1	1.0	1.0	5	3.6666666666666665	4.573149619842937
abur1243	4	1.8	1.7356195923327364	4	1.5	1.3405523525702767	0	0.0	0.0	6	2.55	2.8146295805416663	5	4.5	4.7407770089338	2	1.5	1.7867127549172217	0	0.0	0.0	5	3.5	4.338657132973212
acat1239	4	2.0	2.0	3	1.0	1.0	4	1.5	1.602103838416934	5	2.4	2.6772377616735437	3	3.0	3.0	3	3.0	3.0	2	1.5	1.8300171939496974	5	4.0	4.66619751689633
acha1249	4	2.0	2.0	4	1.4	1.0711853847659778	4	2.0	2.0	6	3.0	2.958339240574387	4	4.0	4.0	5	3.5	4.156494966162915	3	3.0	3.0	7	5.25	6.324838981500699
acha1250	4	1.5	1.6457479955478578	4	1.5	1.2694393570508296	3	1.0	1.0	6	1.8333333333333333	2.1834248802457807	4	3.0	3.5340127871424167	2	1.5	1.7904973690479862	2	2.0	2.0	6	2.75	4.524394222915969
ache1245	3	1.0	1.0	3	1.0	1.0	3	1.0	1.0	4	1.1428571428571428	1.4985002709841158	6	6.0	6.0	1	1.0	1.0	1	1.0	1.0	7	4.0	5.491778957736095
ache1246	5	3.0	3.0	4	1.5	1.2175843684501475	5	3.0	3.0	7	3.0	3.321913695103274	3	3.0	3.0	2	1.5	1.239033737575308	1	1.0	1.0	5	3.0	3.442441720266455
achi1257	4	2.0	2.0	3	1.0	1.0	0	0.0	0.0	5	2.75	2.8533779032761193	4	4.0	4.0	3	3.0	3.0	0	0.0	0.0	4	3.6666666666666665	3.867169510221116
achu1247	3	1.0	1.0	3	1.0	1.0	3	1.0	1.0	5	1.8	1.793991995654229	4	4.0	4.0	4	4.0	4.0	1	1.0	1.0	5	3.0	3.4402042192600546
achu1248	3	1.0	1.0	3	1.0	1.0	3	1.0	1.0	4	1.6	1.7165423008526517	3	3.0	3.0	3	3.0	3.0	2	2.0	2.0	5	4.0	4.555865311401981
acol1236	4	1.8	1.8839705749089872	0	0.0	0.0	0	0.0	0.0	4	1.8	1.8839705749089872	5	4.5	4.263001558623597	0	0.0	0.0	0	0.0	0.0	5	4.5	4.263001558623597
adam1253	6	3.1666666666666665	3.7886702428610715	4	1.5	1.3405523525702767	5	3.0	3.0	8	3.8666666666666667	4.758982619169201	4	3.0833333333333335	3.8540738177096423	2	1.5	1.7867127549172217	1	1.0	1.0	5	3.1666666666666665	4.192344982891247
