	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	dz	d̠ʒ	ɡb	ɡ	6/6	1.0
periodicGlottalSource:+;category:fricative	v		z	ʒ	-		3/5	0.679217665409823
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	t̠ʃ	kp	k	6/6	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ʃ	-		3/5	0.6996525911823187
	4/4	2/4	4/4	4/4	2/2	2/4
	1.0	0.9036894656578184	1.0	1.0	1.0	0.8231799477121992
