	labiodental:0;anterior:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+	z		1/2	0.6439286184805038
periodicGlottalSource:-	s	ʂ	2/2	1.0
	2/2	1/2
	1.0	0.7681178006515341
