	labial:+;coronal:-;strident:0;distributed:0;dorsal:- | labial:+;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;distributed:0;dorsal:- | labial:-;coronal:+;strident:+;distributed:0;dorsal:- | labial:-;coronal:+;strident:-,+;distributed:0;dorsal:- | labial:-;coronal:+;strident:+;distributed:-;dorsal:-;anterior:- | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;anterior:- | labial:-;coronal:+;strident:+;distributed:-;dorsal:-;anterior:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:-;anterior:+ | labial:-;coronal:+;strident:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;distributed:0;dorsal:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:+;anterior:+;front:+ | labial:-;coronal:+;strident:-;distributed:+;dorsal:+;anterior:-;front:+ | labial:-;coronal:+;strident:+;distributed:+;dorsal:-,+;anterior:-;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:plosive		t̪|t	k	2/3	0.6093601470202928
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;sonorant:-;nasal:-;category:plosive	mb	n̪d̪|nd	ŋɡ	3/3	1.0
periodicGlottalSource:+;category:fricative	β			1/3	0.20261153512165828
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s̪|s		1/3	0.7394734110564528
	2/4	3/4	2/4
	0.3529240548020832	0.8047664759238364	0.8166498833906118
