	labial:-;coronal:+;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:-;distributed:0;dorsal:+;high:+;back:-	labial:-,+;coronal:-;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	t̪ʼ|tʼ	kʼ		qʼ	3/4	0.8404189653892551
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-	d̪|d	ɡ	ɡʷ	ɢ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	t̪ʰ|tʰ	kʰ		qʰ	3/4	0.9069183314003318
	3/3	3/3	1/3	3/3
	1.0	1.0	0.33328666971653736	1.0
