	labial:-;coronal:+;lateral:+;strident:-;anterior:+;dorsal:-;high:0;back:0 | labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;dorsal:-;high:0;back:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;dorsal:-;high:0;back:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;dorsal:-;high:0;back:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;dorsal:-;high:0;back:0	labial:-;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:+;back:-	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:+;back:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	d̪ɮ̪|dɮ	d̪|d	d̪z̪|dz	d̠ʒ	ɡ	ɡʷ	ɢ	7/7	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	ɬ̪|ɬ		s̪|s	ʃ	x	xʷ	χ	6/7	0.9818757603352332
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate	t̪ɬ̪ʰ|tɬʰ	t̪ʰ|tʰ	t̪s̪ʰ|tsʰ	t̠ʃʰ	kʰ		qʰ	6/7	0.9575649154766401
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:plosive | periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;category:affricate	t̪ɬ̪ʼ|tɬʼ	t̪ʼ|tʼ	t̪s̪ʼ|tsʼ	t̠ʃʼ	kʼ		qʼ	6/7	0.9273317154435908
	4/4	3/4	4/4	4/4	4/4	2/4	4/4
	1.0	0.9739034030212361	1.0	1.0	1.0	0.5738356740488879	1.0
