	labial:+;coronal:-;strident:0;dorsal:-;front:0;round:-	labial:-;coronal:+;strident:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:-,+;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;dorsal:-;front:0;round:0;distributed:+ | labial:-;coronal:+;strident:+;dorsal:-;front:0;round:0;distributed:- | labial:-;coronal:+;strident:+;dorsal:-;front:0;round:0;anterior:+;distributed:+	labial:-;coronal:-;strident:0;dorsal:+;front:-;round:0 | labial:-;coronal:+;strident:-;dorsal:+;front:+;round:0;anterior:-;distributed:+	labial:-,+;coronal:-;strident:0;dorsal:+;front:-;round:+ | labial:-,-,+;coronal:-;strident:0;dorsal:+;front:-;round:+ | labial:-,+;coronal:+;strident:-;dorsal:+;front:+;round:+;anterior:-;distributed:+ | labial:-,-,+;coronal:+;strident:-;dorsal:+;front:+;round:+;anterior:-;distributed:+ | labial:-,+;coronal:+;strident:+;dorsal:-;front:0;round:+;anterior:-;distributed:+;high:0;low:0;back:0 | labial:-,-,+;coronal:+;strident:+;dorsal:-;front:0;round:+;anterior:-;distributed:+;high:0;low:0;back:0	labial:-;coronal:+;strident:-;dorsal:-,+;front:+;round:0 | labial:-;coronal:+;strident:-;dorsal:0,-,+;front:+;round:0 | labial:-;coronal:+;strident:-;dorsal:-,-,+;front:+;round:0 | labial:-;coronal:+;strident:+;dorsal:-,+;front:+;round:0;distributed:0 | labial:-;coronal:+;strident:+;dorsal:0,-,+;front:+;round:0;distributed:0 | labial:-;coronal:+;strident:+;dorsal:-,-,+;front:+;round:0;distributed:0 | labial:-;coronal:+;strident:+;dorsal:-,+;front:+;round:0;distributed:- | labial:-;coronal:+;strident:+;dorsal:0,-,+;front:+;round:0;distributed:- | labial:-;coronal:+;strident:+;dorsal:-,-,+;front:+;round:0;distributed:- | labial:-;coronal:+;strident:+;dorsal:-,+;front:+;round:0;distributed:+ | labial:-;coronal:+;strident:+;dorsal:0,-,+;front:+;round:0;distributed:+ | labial:-;coronal:+;strident:+;dorsal:-,-,+;front:+;round:0;distributed:+ | labial:-;coronal:+;strident:+;dorsal:-,+;front:+;round:0;anterior:+;distributed:+ | labial:-;coronal:+;strident:+;dorsal:0,-,+;front:+;round:0;anterior:+;distributed:+ | labial:-;coronal:+;strident:+;dorsal:-,-,+;front:+;round:0;anterior:+;distributed:+ | labial:-;coronal:+;strident:+;dorsal:+;front:+;round:0 | labial:-;coronal:+;strident:+;dorsal:+;front:+;round:0;distributed:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	p	t̪	k	kʷ	t̪ʲ	5/5	1.0
periodicGlottalSource:+;category:fricative	β		ɣ			2/5	0.3360324397739783
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s̪	x	xʷ	ɕ	4/5	0.8884802888137383
	2/3	2/3	3/3	2/3	2/3
	0.7380436698507146	0.850654503194546	1.0	0.924334577347648	0.7665508906479823
