	labial:-;high:0;low:0;front:0;back:0	labial:-,+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	d̠ʒ	d̠ʒʷ	2/2	1.0
periodicGlottalSource:-	t̠ʃ	t̠ʃʷ	2/2	1.0
	2/2	2/2
	1.0	1.0
