	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0	labial:-,+;labiodental:-;coronal:+;anterior:+;distributed:-;dorsal:-;round:+	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-,+;round:-	count	markedness_count
periodicGlottalSource:+	v	z		zʷ	vʲ	4/5	0.7898975060085375
periodicGlottalSource:-	f	s	ʃ	sʷ		4/5	0.9989636690238751
	2/2	2/2	1/2	2/2	1/2
	1.0	1.0	0.7783204924998441	1.0	0.4291739162604272
