	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive			dz	d̠ʒ	ɡ	3/5	0.4275515086064141
periodicGlottalSource:+;category:fricative	v			ʒ	ɣ	3/5	0.646163835221859
periodicGlottalSource:-;category:affricate|plosive	p	t	ts		k	4/5	0.9045391858227592
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ʃ	x	4/5	0.8977857981870537
	3/4	1/4	3/4	3/4	4/4
	0.7258590994096458	0.6402443230843355	0.8739150334340746	0.5100618013964167	1.0
