		dz	d̠ʒ	ɡ	3/5	0.4275515086064141
v			ʒ	ɣ	3/5	0.646163835221859
p	t	ts		k	4/5	0.9045391858227592
f		s	ʃ	x	4/5	0.8977857981870537
3/4	1/4	3/4	3/4	4/4
0.7258590994096458	0.6402443230843355	0.8739150334340746	0.5100618013964167	1.0
