	labial:+;coronal:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	v		1/2	0.3405523525702766
periodicGlottalSource:-		s	1/2	0.7843841173705945
	1/2	1/2
	0.33745490270910106	0.7867127549172216
