		s	ʃ	ʂ		3/6	0.5160654849487412
mp	nt	nts	n̠t̠ʃ	ɳʈʂ	ŋk	6/6	1.0
p	t	ts	t̠ʃ	ʈʂ	k	6/6	1.0
2/3	2/3	3/3	3/3	3/3	2/3
0.7838594442093504	0.901693017230919	1.0	1.0	1.0	0.8301066226622072
