	labial:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	v			1/3	0.34974051404148926
periodicGlottalSource:-		s	ʃ	2/3	0.7780863192590562
	1/2	1/2	1/2
	0.33745490270910106	0.7904973690479861	0.7783204924998441
