	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɡb	ɡ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-			kp		1/4	0.007211862977468247
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ		kʰ	3/4	0.9999621814848928
	2/3	2/3	2/3	2/3
	0.4556547232547866	0.39544422376259686	0.9995394491542985	0.4026270086753668
