	labiodental:0;lateral:+;strident:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;lateral:-;strident:+;anterior:-;distributed:-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+	ɮ	z	ʒ		3/4	0.8567633202090028
periodicGlottalSource:-		s	ʃ	ʂ	3/4	0.9171565655734544
	1/2	2/2	2/2	1/2
	0.09511150429007344	1.0	1.0	0.7700411647665334
