	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:-	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	β	v	z	ʒ	ɣ	5/5	1.0
periodicGlottalSource:-		f	s	ʃ		3/5	0.7633546381146223
	1/2	2/2	2/2	2/2	1/2
	0.5479002076962644	1.0	1.0	1.0	0.2955652519701484
