	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:+	b̰			1/3	0.4082327755174274
periodicGlottalSource:-;constrictedGlottis:-	p	t̪|t	k	3/3	1.0
	2/2	1/2	1/2
	1.0	0.9970660376275075	0.9853718534511188
