	labial:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0 | labial:-;coronal:+;anterior:-;distributed:-;high:0;low:0;front:0;back:0 | labial:-;coronal:+;anterior:-;distributed:-;high:0;low:0;front:0;back:0;strident:+	count	markedness_count
periodicGlottalSource:+	bβ		ɖʐ	2/3	0.42770977202528465
periodicGlottalSource:-		t̠ʃ	ts	2/3	0.9985551314015064
	1/2	1/2	2/2
	0.3191808887125712	0.7574715057915199	1.0
