	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+	b	d			2/4	0.6510358240115259
periodicGlottalSource:-		t	kp	k	3/4	0.7423122056502383
	1/2	2/2	1/2	1/2
	0.35307331597901326	1.0	0.46941066790656305	0.7131090135848781
