	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	b	d̪	d	ɟ	ɡ	5/5	1.0
periodicGlottalSource:-	p	t̪	t		k	4/5	0.9597737755223655
	2/2	2/2	2/2	1/2	2/2
	1.0	1.0	1.0	0.46026314264243406	1.0
