	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0	labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive			d̠ʒ				1/6	0.07420461023625172
periodicGlottalSource:+;category:fricative				ʐ			1/6	0.04546934074387765
periodicGlottalSource:-;category:affricate|plosive	p	t	t̠ʃ	ʈʂ	k	q	6/6	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		s	ʃ	ʂ	x		4/6	0.7534766503647846
	1/4	2/4	3/4	3/4	2/4	1/4
	0.5024236493692108	0.744047090039469	0.9236936179361749	0.9253734908601073	0.6953370141434778	0.5559788356559817
