	labiodental:0;distributed:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;distributed:-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+	d̠ʒ		1/2	0.6439360361177529
periodicGlottalSource:-	t̠ʃ	ʈʂ	2/2	1.0
	2/2	1/2
	1.0	0.8267186221001794
