	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+			ʐ		1/4	0.06173058863985798
periodicGlottalSource:-	s	ʃ	ʂ	x	4/4	1.0
	1/2	1/2	2/2	1/2
	0.7941949965540165	0.7783204924998441	1.0	0.7044347480298516
