	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɡ		3/4	0.9776428428475866
periodicGlottalSource:-;spreadGlottis:-	p	t	k	kʷ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ	kʰ	kʷʰ	4/4	1.0
	3/3	3/3	3/3	2/3
	1.0	1.0	1.0	0.8209627147486895
