	d̠ʒ		ɡ	2/4	0.7170517231765494
ɓ	ɗ	-		2/3	0.8038629283657579
v		-		1/3	0.27338423696899294
p	t	kp	k	4/4	1.0
f	s	-		2/3	0.801866792995265
4/5	4/5	1/2	2/5
0.7509599328076818	0.9381565587788319	0.46941066790656305	0.813686642648233
