p͈	t̪͈	t̺͈	ȶ͈	k͈	5/5	1.0
p͉	t̪͉	t̺͉	ȶ͉	k͉	5/5	1.0
β	ð			ɣ	3/5	0.6991542873317432
3/3	3/3	2/3	2/3	3/3
1.0	1.0	0.9103939427512331	0.9635783206270239	1.0
