	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;strident:-	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
loweredLarynxImplosive:-;sonorant:-;nasal:-		d̪	ɖ	ɟ	ɡ	4/5	0.7364482821805034
loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-	mb	n̪d̪	ɳɖ	ɲɟ	ŋɡ	5/5	1.0
loweredLarynxImplosive:+;sonorant:-;nasal:-	ɓ	ɗ				2/5	0.7782108855996508
loweredLarynxImplosive:-,+;sonorant:+,-;nasal:+,-		nɗ	-		-	1/3	0.9162564396107613
	2/4	4/4	2/3	2/4	2/3
	0.07370416067659961	1.0	0.9857855174167198	0.9473115255403118	0.9941398102074368
