	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
loweredLarynxImplosive:-;sonorant:-;nasal:-;category:plosive		d̪	ɖ	ɟ	ɡ	4/5	0.7194071585307255
loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	mb	n̪d̪	ɳɖ	ɲɟ	ŋɡ	5/5	1.0
loweredLarynxImplosive:+;sonorant:-;nasal:-;category:plosive	ɓ	ɗ				2/5	0.7760564884163125
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:affricate	pf					1/5	0.0024132438125110873
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f	s	ʃ			3/5	0.8029965471129127
loweredLarynxImplosive:-,+;sonorant:+,-;nasal:+,-;category:plosive | loweredLarynxImplosive:-,+;sonorant:-;nasal:-;periodicGlottalSource:+;category:plosive		nɗ	-		-	1/3	0.9162564396107613
	4/6	5/6	3/5	2/6	2/5
	0.22058596283917106	0.9074743188279764	0.6424137515297405	0.7756689768994609	0.857148155565554
