	labial:+;coronal:-;anterior:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;dorsal:-;front:0	labial:-;coronal:-;anterior:0;dorsal:+;front:- | labial:-;coronal:+;anterior:-;dorsal:+;front:+ | labial:-;coronal:+;anterior:-;dorsal:+;front:+;distributed:+;strident:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-		d̪	ɡ	2/3	0.710213460810209
periodicGlottalSource:+;loweredLarynxImplosive:+	ɓ		ʄ	2/3	0.6236960163347752
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t̪	k	3/3	1.0
	2/3	2/3	3/3
	0.6792132775084354	0.9729893352972586	1.0
