	labial:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0 | labial:+;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;anterior:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0 | labial:-;coronal:+;strident:-,+;anterior:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:+ | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:- | labial:-;coronal:+;strident:-;anterior:-;dorsal:-;front:0;lateral:-;distributed:-	labial:-;coronal:-;strident:0;anterior:0;dorsal:+;front:- | labial:-;coronal:+;strident:-;anterior:-;dorsal:+;front:+ | labial:-;coronal:+;strident:+;anterior:+;dorsal:+;front:+;distributed:+ | labial:-;coronal:+;strident:+;anterior:-;dorsal:-;front:0 | labial:-;coronal:+;strident:-,+;anterior:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:-;dorsal:-;front:0;distributed:+;high:0;low:0;back:0 | labial:-;coronal:+;strident:-;anterior:-;dorsal:+;front:+;distributed:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:plosive		d̪	ɡ	2/3	0.710213460810209
periodicGlottalSource:+;loweredLarynxImplosive:+;category:plosive	ɓ		ʄ	2/3	0.6236960163347752
periodicGlottalSource:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪	k	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s̪	ʃ	2/3	0.8776549409961202
	2/4	3/4	4/4
	0.5718042603282301	0.9831725224834369	1.0
