	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:+;coronal:-;dorsal:-,+;front:+	labial:-;coronal:-;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	v	ʒ			2/4	0.7562934165236375
periodicGlottalSource:-	f	ʃ	fʲ	x	4/4	1.0
	2/2	2/2	1/2	1/2
	1.0	1.0	0.4628500738317318	0.704107797634039
