	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:+;dorsal:- | labial:-;coronal:+;distributed:-,+;dorsal:-	labial:+;coronal:-;distributed:0;dorsal:+	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t̪	kp	k	4/4	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	b	d̪	ɡb	ɡ	4/4	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-		nd̪		ŋɡ	2/4	0.5457894019240717
	2/3	3/3	2/3	3/3
	0.97184827087695	1.0	0.9498754830190782	1.0
