	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:- | labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;distributed:0;dorsal:-;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-;distributed:-,+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-,+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;anterior:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;anterior:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-;distributed:-;dorsal:-;anterior:-;lateral:-	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:+;anterior:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:+;anterior:-;front:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-,+;anterior:-;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:plosive	p	t̪	kp	k	4/4	1.0
periodicGlottalSource:+;sonorant:-;nasal:-;category:plosive	b	d̪	ɡb	ɡ	4/4	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:plosive		nd̪		ŋɡ	2/4	0.5457894019240717
periodicGlottalSource:+;category:fricative	v	z	-		2/3	0.7853305276797724
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s	-		2/3	0.827317443081052
	4/5	5/5	2/3	3/5
	0.9782057716183808	1.0	0.9498754830190782	0.816649883390612
