	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:-	labial:-;coronal:+;anterior:-;dorsal:-	labial:+;coronal:-;anterior:0;dorsal:+	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	b	d	ɖ	ɡb	ɡ	5/5	1.0
periodicGlottalSource:-		t		kp	k	3/5	0.6909461614382509
	1/2	2/2	1/2	2/2	2/2
	0.35307331597901326	1.0	0.18254808563574523	1.0	1.0
