	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɡ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-			k	1/3	0.3740838367220055
periodicGlottalSource:-;spreadGlottis:+		tʰ		1/3	0.32570193533233804
	1/3	2/3	2/3
	0.348577082996228	0.39544422376259686	0.8778662622651932
