	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:+;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;front:+ | labial:-;coronal:+;strident:-,-,+;anterior:+;distributed:-,-,+;dorsal:-,-,+;front:+ | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	p	t	ts	t̠ʃ	ʈʂ	k	tɕ	7/7	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	b	d	dz	d̠ʒ	ɖʐ	ɡ	dʑ	7/7	1.0
periodicGlottalSource:-;spreadGlottis:+;category:fricative		-	sʰ	ʃʰ			ɕʰ	3/6	0.9100529459529982
periodicGlottalSource:+;spreadGlottis:-;category:fricative			z	ʒ		ɣ	ʑ	4/7	0.603808843882884
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-;category:affricate	pʰ	tʰ	tsʰ	t̠ʃʰ	ʈʂʰ	kʰ	tɕʰ	7/7	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-,-;nasal:+,-,-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-,-;nasal:+,-,-;category:affricate	mb	nd	ndz	n̠d̠ʒ	ɳɖʐ	ŋɡ	ndʑ	7/7	1.0
periodicGlottalSource:-;spreadGlottis:-;category:fricative | periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:fricative			s	ʃ		x	ɕ	4/7	0.6564592710776468
	4/7	4/6	7/7	7/7	4/7	6/7	7/7
	0.773099574294249	0.9013775532553205	1.0	1.0	0.4615823913817077	0.9999008261519091	1.0
