	labial:+;labiodental:-;coronal:-;strident:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-,+;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;dorsal:-	labial:+;labiodental:-;coronal:-;strident:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	p	t		ts	kp	k	5/6	0.9999898402634809
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	b	d	-	dz	ɡb	ɡ	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-;category:affricate|plosive	ɓ	ɗ	-	-	-		2/3	0.8108077539606614
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative	f		-	s	-		2/4	0.7294684367209016
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb	nd			ŋmɡb	ŋɡ	4/6	0.8837527443470244
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative | periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	v		nz	z	-		3/5	0.6921112148810284
	6/6	4/6	1/3	4/5	3/3	3/6
	1.0	0.9279073912309128	0.13746046576838197	0.9962669544183135	1.0	0.8116440050673391
