	labial:+;labiodental:-;coronal:-;anterior:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;anterior:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;anterior:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:-;anterior:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:+;anterior:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;anterior:+;dorsal:+;front:+ | labial:-;labiodental:0;coronal:+;anterior:+;dorsal:+;front:+;distributed:+;strident:+;high:+;low:-;back:-	count	markedness_count
periodicGlottalSource:+	β		ɣ	ʑ	3/4	0.6788579130236648
periodicGlottalSource:-	f	s̪|s		ʃ	3/4	0.8248901213537164
	2/2	1/2	1/2	2/2
	1.0	0.7982510323809631	0.2974190608674369	1.0
