	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:-;coronal:+;dorsal:-,+;front:+	labial:-;coronal:-;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	b	d	dʲ	ɡ	4/4	1.0
periodicGlottalSource:-		t	tʲ	k	3/4	0.7403691380408196
	1/2	2/2	2/2	2/2
	0.35307331597901326	1.0	1.0	1.0
