	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0;round:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	labial:-;labiodental:0;coronal:+;anterior:-;distributed:-;high:0;low:0;front:0;back:0;round:0	labial:+,-,+;labiodental:-;coronal:-,+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:-,0,+	labial:-,+;labiodental:-;coronal:+;anterior:-;distributed:-;high:0;low:0;front:0;back:0;round:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	bv	dz	d̠ʒ	ɖʐ	bzʷ	ɖʐʷ	6/6	1.0
periodicGlottalSource:-;spreadGlottis:-	pf	ts	t̠ʃ	ʈʂ	psʷ	ʈʂʷ	6/6	1.0
periodicGlottalSource:-;spreadGlottis:+ | periodicGlottalSource:-;spreadGlottis:-,+	pfʰ	tsʰ	t̠ʃʰ	ʈʂʰ	psʷʰ		5/6	0.9919611422312907
	3/3	3/3	3/3	3/3	3/3	2/3
	1.0	1.0	1.0	1.0	1.0	0.7108198894903196
