b	-	d	-	-	-		ɡ	ɡʷ	4/5	0.9984026313435693
ɓ	-	ɗ	-	-	-			-	2/4	0.8033335716541292
	-		-	-	-	-		ɡ̤ʷ	1/4	0.0003375467792183481
bv		dz	ɖʐ	bzʷ	-	ɖʐʷ	d̠ʒ		6/8	0.9882903219987137
v		z	ʐ	-	-	ʐʷ	ʒ		5/7	0.9612545992305597
v̤			-	-	-	-		-	1/4	0.40129265784610835
p	-	t	-	-	-	tʷ	k	kʷ	5/5	1.0
f	ɬ	s		-	ɬʷ	sʷ	ʃ	ʃʷ	7/8	0.95295263136603
pʰ	-	tʰ	-	-	-		kʰ	kʷʰ	4/5	0.996197741513814
pf		ts	ʈʂ	psʷ	-	ʈʂʷ	t̠ʃ		6/8	0.9608162168344001
pfʰ		tsʰ	ʈʂʰ	psʷʰ	-		t̠ʃʰ		5/8	0.9584079815281935
10/11	1/6	9/11	4/5	3/3	1/1	5/9	8/11	5/9
0.9952142645350436	0.5780544601446944	0.993997875260743	0.5936124084137219	1.0	1.0	0.7103598335581319	0.9902325360989496	0.9094389051533033
