	labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0;round:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:-;high:0;low:0;front:0;back:0;round:0	labial:-,+;labiodental:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:+	labial:-,+;labiodental:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:+	labial:-,+;labiodental:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:+ | labial:-,+;labiodental:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:-;high:0;low:0;front:0;back:0;round:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	v		z	ʒ	ʐ	-		ʐʷ	5/7	0.9655298768393815
periodicGlottalSource:+;spreadGlottis:+	v̤				-	-	-	-	1/4	0.5317799358120123
periodicGlottalSource:-;spreadGlottis:-	f	ɬ	s	ʃ		ɬʷ	ʃʷ	sʷ	7/8	0.901435784692641
	3/3	1/3	2/3	2/3	1/2	1/1	1/2	2/2
	1.0	0.9048884957099266	0.9999078263830993	0.999632225066332	0.23063039189967055	1.0	0.5422640305835951	1.0
