	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:-;dorsal:-;round:0	labial:+,-,+;labiodental:-;coronal:-,+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;round:-,0,+	labial:-,+;labiodental:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;round:+	labial:-,+;labiodental:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;round:+ | labial:-,+;labiodental:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;round:+ | labial:-,+;labiodental:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:-;dorsal:-;round:+	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;round:0;high:0;low:0;front:0;back:0	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+ | labial:-,+;labiodental:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;round:+ | labial:-,+;labiodental:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;round:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:-;category:plosive	b	-	d	-	-	-		ɡ	ɡʷ	4/5	0.9984026313435693
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:+;category:plosive	ɓ	-	ɗ	-	-	-			-	2/4	0.8033335716541292
periodicGlottalSource:+;spreadGlottis:+;loweredLarynxImplosive:-;category:plosive		-		-	-	-	-		ɡ̤ʷ	1/4	0.0003375467792183481
periodicGlottalSource:+;spreadGlottis:-;category:affricate	bv		dz	ɖʐ	bzʷ	-	ɖʐʷ	d̠ʒ		6/8	0.9882903219987137
periodicGlottalSource:+;spreadGlottis:-;category:fricative	v		z	ʐ	-	-	ʐʷ	ʒ		5/7	0.9612545992305597
periodicGlottalSource:+;spreadGlottis:+;category:fricative	v̤			-	-	-	-		-	1/4	0.40129265784610835
periodicGlottalSource:-;spreadGlottis:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	p	-	t	-	-	-	tʷ	k	kʷ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:-;category:fricative | periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:fricative	f	ɬ	s		-	ɬʷ	sʷ	ʃ	ʃʷ	7/8	0.95295263136603
periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-,+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	pʰ	-	tʰ	-	-	-		kʰ	kʷʰ	4/5	0.996197741513814
periodicGlottalSource:-;spreadGlottis:-;category:affricate | periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:affricate	pf		ts	ʈʂ	psʷ	-	ʈʂʷ	t̠ʃ		6/8	0.9608162168344001
periodicGlottalSource:-;spreadGlottis:+;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;category:affricate | periodicGlottalSource:-;spreadGlottis:+,-,+;category:affricate | periodicGlottalSource:+,-;spreadGlottis:+;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+,-;spreadGlottis:+,-,+;sonorant:+,-;nasal:+,-;category:affricate	pfʰ		tsʰ	ʈʂʰ	psʷʰ	-		t̠ʃʰ		5/8	0.9584079815281935
	10/11	1/6	9/11	4/5	3/3	1/1	5/9	8/11	5/9
	0.9952142645350436	0.5780544601446944	0.993997875260743	0.5936124084137219	1.0	1.0	0.7103598335581319	0.9902325360989496	0.9094389051533033
