	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:+	count	markedness_count
periodicGlottalSource:+	v	z̻	ʐ	ʑ	4/4	1.0
periodicGlottalSource:-		s̻	ʂ	ɕ	3/4	0.7654960396328314
	1/2	2/2	2/2	2/2
	0.33747892892306774	1.0	1.0	1.0
