	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;round:-;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;round:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-,+;high:+;low:-;front:+;back:-;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-;back:-;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;front:-;back:+;round:0;retractedTongueRoot:+	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-;back:-;round:+;retractedTongueRoot:- | labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;front:-;back:+;round:+;retractedTongueRoot:+	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;high:+;low:-;front:+;back:-;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:affricate|plosive	b		d		ɡ	ɡʷ	d̠ʒ	5/7	0.9925634929826835
periodicGlottalSource:+;loweredLarynxImplosive:+;category:affricate|plosive	ɓ	-	ɗ	ɗʲ		-	ʄ	4/5	0.9199464835173089
periodicGlottalSource:+;category:fricative	v	ɮ	z		ʕ	ʕʷ		5/7	0.8410793170021134
periodicGlottalSource:-;loweredLarynxImplosive:-;category:affricate|plosive	p		t		k	kʷ	t̠ʃ	5/7	0.9861122271656733
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	ɬ	s		ħ	ħʷ	ʃ	6/7	0.994536571851169
	5/5	2/4	5/5	1/5	4/5	4/4	4/5
	1.0	0.6387032679104904	1.0	0.0008219437629404103	0.9953524292195075	1.0	0.9338300964924167
