	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-,+;front:+;round:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:0 | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;round:0 | labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+;round:0;strident:-	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-	b	d		ɡ	ɡʷ	4/5	0.9943995767393659
periodicGlottalSource:+;loweredLarynxImplosive:+	ɓ	ɗ	ɗʲ	ʄ	-	4/4	1.0
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t		k	kʷ	4/5	0.9956443260554809
	3/3	3/3	1/3	3/3	2/2
	1.0	1.0	0.001351436528426941	1.0	1.0
