	labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;round:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0;retractedTongueRoot:+	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;round:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+	v	ɮ	z		ʕ	ʕʷ	5/6	0.78075384009794
periodicGlottalSource:-	f	ɬ	s	ʃ	ħ	ħʷ	6/6	1.0
	2/2	2/2	2/2	1/2	2/2	2/2
	1.0	1.0	1.0	0.7852728912936696	1.0	1.0
