name,glottocode
Ache,ache1246
Amondawa,amun1246
Anambe,anam1249
Apiaka,apia1248
Arawete,araw1273
Asurini_Tocantins,toca1235
Asurini_Xingu,xing1248
Ava_Canoeiro,avac1239
Aweti,awet1244
Chiriguano,east2555
Guaja,guaj1256
Guajajara,guaj1255
Guarani,para1311
Guarayo,guar1292
Kaapor,urub1250
Kaiowa,kaiw1246
Kamajura,kama1373
Kayabi,kaya1329
Kokama,coca1259
Mawe,sate1243
Mbya,mbya1239
Nheengatu,nhen1239
Old_Guarani,oldp1258
Omagua,omag1248
Parakana,para1312
Parintintin,tenh1241
Siriono,siri1273
Surui_Aikewara,suru1262
Tapiete,tapi1253
Tapirape,tapi1254
Teko,emer1243
Tembe,temb1276
Tenharim,nucl1663
Tupinamba,tupi1273
Urueuwauwau,urue1240
Warazu,paus1244
Wayampi,waya1270
Xeta,xeta1241
Yuki,yuqu1240
Zoe,zoee1240
