	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-	b	d̪	ɖ	ɟ	ɡ	5/5	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-	mb	n̪d̪	ɳɖ		ŋɡ	4/5	0.9254599841642136
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-	pʰ	t̪ʰ	ʈʰ	cʰ	kʰ	5/5	1.0
	3/3	3/3	3/3	2/3	3/3
	1.0	1.0	1.0	0.9525834353840531	1.0
