	labiodental:0;anterior:+;distributed:+;dorsal:-;round:0	labiodental:0;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;anterior:+;distributed:-;dorsal:-,+;round:0	labiodental:0;anterior:-;distributed:+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+	d̪z̪	d̠ʒ	dzʲ	d̠ʒʲ	4/4	1.0
periodicGlottalSource:-	t̪s̪	t̠ʃ	tsʲ	t̠ʃʲ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
